Basketball,Football
Dataset\train\basketball\basketball_0.jpg,Dataset\train\football\football_1.jpg
Dataset\train\basketball\basketball_1 (2).jpg,Dataset\train\football\football_10.jpg
Dataset\train\basketball\basketball_1(1).jpg,Dataset\train\football\football_1000.jpg
Dataset\train\basketball\basketball_1.jpg,Dataset\train\football\football_1002.jpg
Dataset\train\basketball\basketball_10 (2).jpg,Dataset\train\football\football_1003.jpg
Dataset\train\basketball\basketball_10(1).jpg,Dataset\train\football\football_1005.jpg
Dataset\train\basketball\basketball_10.jpg,Dataset\train\football\football_1008.jpg
Dataset\train\basketball\basketball_100.jpg,Dataset\train\football\football_1009.jpg
Dataset\train\basketball\basketball_101.jpg,Dataset\train\football\football_1012.jpg
Dataset\train\basketball\basketball_102.jpg,Dataset\train\football\football_1014.jpg
Dataset\train\basketball\basketball_105.jpg,Dataset\train\football\football_1016.jpg
Dataset\train\basketball\basketball_11 (2).jpg,Dataset\train\football\football_1017.jpg
Dataset\train\basketball\basketball_11.jpg,Dataset\train\football\football_1019.jpg
Dataset\train\basketball\basketball_110.jpg,Dataset\train\football\football_102.jpg
Dataset\train\basketball\basketball_111.jpg,Dataset\train\football\football_1021.jpg
Dataset\train\basketball\basketball_112.jpg,Dataset\train\football\football_1022.jpg
Dataset\train\basketball\basketball_115.jpg,Dataset\train\football\football_1026.jpg
Dataset\train\basketball\basketball_116.jpg,Dataset\train\football\football_1029.jpg
Dataset\train\basketball\basketball_119.jpg,Dataset\train\football\football_1030.jpg
Dataset\train\basketball\basketball_12 (2).jpg,Dataset\train\football\football_1031.jpg
Dataset\train\basketball\basketball_12(1).jpg,Dataset\train\football\football_1032.jpg
Dataset\train\basketball\basketball_12.jpg,Dataset\train\football\football_1033.jpg
Dataset\train\basketball\basketball_122.jpg,Dataset\train\football\football_1034.jpg
Dataset\train\basketball\basketball_125.jpg,Dataset\train\football\football_1038.jpg
Dataset\train\basketball\basketball_126.jpg,Dataset\train\football\football_1039.jpg
Dataset\train\basketball\basketball_127.jpg,Dataset\train\football\football_104.jpg
Dataset\train\basketball\basketball_13 (2).jpg,Dataset\train\football\football_1040.jpg
Dataset\train\basketball\basketball_13(1).jpg,Dataset\train\football\football_1042.jpg
Dataset\train\basketball\basketball_13.jpg,Dataset\train\football\football_1043.jpg
Dataset\train\basketball\basketball_130.jpg,Dataset\train\football\football_1044.jpg
Dataset\train\basketball\basketball_133.jpg,Dataset\train\football\football_1047.jpg
Dataset\train\basketball\basketball_135.jpg,Dataset\train\football\football_1048.jpg
Dataset\train\basketball\basketball_137.jpg,Dataset\train\football\football_1052.jpg
Dataset\train\basketball\basketball_139.jpg,Dataset\train\football\football_1058.jpg
Dataset\train\basketball\basketball_14 (2).jpg,Dataset\train\football\football_1059.jpg
Dataset\train\basketball\basketball_14(1).jpg,Dataset\train\football\football_1060.jpg
Dataset\train\basketball\basketball_14.jpg,Dataset\train\football\football_1063.jpg
Dataset\train\basketball\basketball_142.jpg,Dataset\train\football\football_1065.jpg
Dataset\train\basketball\basketball_143.jpg,Dataset\train\football\football_1068.jpg
Dataset\train\basketball\basketball_144.jpg,Dataset\train\football\football_1069.jpg
Dataset\train\basketball\basketball_147.jpg,Dataset\train\football\football_107.jpg
Dataset\train\basketball\basketball_148.jpg,Dataset\train\football\football_1070.jpg
Dataset\train\basketball\basketball_149.jpg,Dataset\train\football\football_1073.jpg
Dataset\train\basketball\basketball_15 (2).jpg,Dataset\train\football\football_1074.jpg
Dataset\train\basketball\basketball_15(1).jpg,Dataset\train\football\football_1075.jpg
Dataset\train\basketball\basketball_15.jpg,Dataset\train\football\football_1076.jpg
Dataset\train\basketball\basketball_151.jpg,Dataset\train\football\football_1077.jpg
Dataset\train\basketball\basketball_152.jpg,Dataset\train\football\football_1078.jpg
Dataset\train\basketball\basketball_154.jpg,Dataset\train\football\football_1081.jpg
Dataset\train\basketball\basketball_155.jpg,Dataset\train\football\football_1083.jpg
Dataset\train\basketball\basketball_159.jpg,Dataset\train\football\football_1085.jpg
Dataset\train\basketball\basketball_16(1).jpg,Dataset\train\football\football_1092.jpg
Dataset\train\basketball\basketball_16.jpg,Dataset\train\football\football_1093.jpg
Dataset\train\basketball\basketball_162.jpg,Dataset\train\football\football_1096.jpg
Dataset\train\basketball\basketball_165.jpg,Dataset\train\football\football_1098.jpg
Dataset\train\basketball\basketball_166.jpg,Dataset\train\football\football_1101.jpg
Dataset\train\basketball\basketball_168.jpg,Dataset\train\football\football_1102.jpg
Dataset\train\basketball\basketball_169.jpg,Dataset\train\football\football_1107.jpg
Dataset\train\basketball\basketball_17 (2).jpg,Dataset\train\football\football_1110.jpg
Dataset\train\basketball\basketball_17(1).jpg,Dataset\train\football\football_1113.jpg
Dataset\train\basketball\basketball_17.jpg,Dataset\train\football\football_1119.jpg
Dataset\train\basketball\basketball_171.jpg,Dataset\train\football\football_112.jpg
Dataset\train\basketball\basketball_172.jpg,Dataset\train\football\football_1122.jpg
Dataset\train\basketball\basketball_174.jpg,Dataset\train\football\football_1125.jpg
Dataset\train\basketball\basketball_177.jpg,Dataset\train\football\football_1127.jpg
Dataset\train\basketball\basketball_178.jpg,Dataset\train\football\football_1128.jpg
Dataset\train\basketball\basketball_179.jpg,Dataset\train\football\football_1132.jpg
Dataset\train\basketball\basketball_18 (2).jpg,Dataset\train\football\football_1135.jpg
Dataset\train\basketball\basketball_18(1).jpg,Dataset\train\football\football_1138.jpg
Dataset\train\basketball\basketball_18.jpg,Dataset\train\football\football_1140.jpg
Dataset\train\basketball\basketball_181.jpg,Dataset\train\football\football_1143.jpg
Dataset\train\basketball\basketball_183.jpg,Dataset\train\football\football_1144.jpg
Dataset\train\basketball\basketball_184.jpg,Dataset\train\football\football_1145.jpg
Dataset\train\basketball\basketball_185.jpg,Dataset\train\football\football_1147.jpg
Dataset\train\basketball\basketball_187.jpg,Dataset\train\football\football_1150.jpg
Dataset\train\basketball\basketball_189.jpg,Dataset\train\football\football_1151.jpg
Dataset\train\basketball\basketball_19 (2).jpg,Dataset\train\football\football_1155.jpg
Dataset\train\basketball\basketball_19(1).jpg,Dataset\train\football\football_1157.jpg
Dataset\train\basketball\basketball_19.jpg,Dataset\train\football\football_1158.jpg
Dataset\train\basketball\basketball_193.jpg,Dataset\train\football\football_1159.jpg
